ka_cal_BP,width,length,l_w_index,area,percent_area,contour_length,area_contour_ratio,position_longest_extend,position_widest_extend,length_lower_part,relative_length_lower_part,length_upper_part,relative_length_upper_part,upper_to_lower_ratio,width_left_part,relative_width_left_part,width_right_part,relative_width_right_part,left_to_right_ratio,tip_angle,MP_CM_x_offset,MP_CM_y_offset,FD
27.5,5.391792704790176,12.186057606953943,1.9052090249028921,242.84912276673234,4.985693819032898,29.77894750130895,156.67983733898697,0.8864052604279183,0.46291004988627565,7.884161337770811,9.996427933445599,5.792544469278716,9.856107606091623,0.8581541653039804,1.8439088914585775,26.299103732691293,3.6205761183230805,20.29382383175447,6.929027967285786,14.21204217757402,0.2416461403433896,0.44219420426517847,0.04905493132399677
29.1,3.2486260832190936,11.853269591129697,1.9379204612898109,140.1588384655067,4.891683905218266,27.871836784006284,98.23650398037235,0.6408699444616558,0.8345229603962802,7.62833065430626,15.692923792042613,10.71173422000378,16.01784718903975,0.7363035088486657,1.7062908812475592,14.810710410278869,2.1320680771763096,14.146554350795109,0.6490377492873586,16.591198182857596,0.24748737341529164,0.8314144574157946,0.025852515145732613
29.5,1.9523619469035889,7.859749141394816,1.5857394795393402,75.01490491626286,4.990334091364463,17.68890538550573,52.59284719196685,0.9587449708822046,0.49482166974424724,4.34937311168477,9.691874134677168,5.4076319991641295,9.714484655462282,0.6583258534289301,1.2623094915769477,22.16079894997042,1.7085793614413798,21.932115191373512,1.3272969418020866,10.447927637536157,0.31091101068578536,0.46277489782896175,0.04405953800026575
29.6,2.0615528128088303,10.661457061146317,2.0886598574205424,73.11178655547499,2.8867513459481278,25.289984842489197,59.010592269523954,1.5,0.49999999999999994,4.217720553411127,3.265986323710904,6.715839485872187,2.5,0.17078251276599332,2.27522892621087,21.328775554791388,0.9912113800799504,32.26969682741586,3.77756535350482,2.217355782608345,0.36968455021364727,0.4546060565661952,0.0500755328171422
29.9,4.1824211957696855,17.53882248378286,1.3881324737595768,298.09584423963577,6.959441323081314,40.63883248670357,131.92254857881352,0.562295714538387,0.6063390625908324,8.606572385990495,10.036697371030327,10.853885858773994,9.986019639240357,0.6869048225876113,2.631036476595577,8.731282501307987,1.81539575980167,11.501278701288213,0.45122382602924527,10.063767274967457,0.297415336445418,1.1314033451478587,0.048564506436171995
30.0,1.9402850002906635,8.352086741717692,1.6416231207522132,88.72885000680112,4.419209404939518,20.177703186496547,55.496489025141464,0.6183469424008422,0.7952062255644574,8.41872475322648,15.183195044677054,7.2942564028548,15.27035767522856,1.240700703350376,0.9773914863794644,13.982394392276898,1.0928578294060567,10.365383566013765,0.6269674914173123,13.997636355092661,0.14975470138942315,0.7988042534276578,0.03950857513922294
30.4,4.377431297222695,21.563637823671503,1.4017506061724252,371.9133603664268,3.816006389133116,48.215636665376714,147.68873316797698,0.8047478161629565,0.49761335152811925,8.80423058480843,8.378544026261364,14.396801893542358,8.578489155467658,0.6711752308273827,2.5917818838269038,19.03655631122594,2.6040170433207157,17.49258346244134,1.7266537966058317,7.3953009533403185,0.27132830228165955,1.0977899877220858,0.04342492414190134
30.5,1.224744871391589,15.47578754054216,1.448102206337661,120.71785286360921,7.569676347110226,34.361315457939035,31.665438572677303,1.0954451150103321,1.0954451150103321,13.093509842666327,16.66433316997713,6.268333111761052,16.64331697709324,2.329592238998061,2.117781858454737,32.207142065076184,2.069541011915444,27.978563222581677,1.817415747703315,4.242640687119286,0.2588435821108957,0.8197560612767679,0.03766334053608653
30.7,1.0533988431771784,5.411511910074873,0.7376680387127706,40.074015168551846,4.127510248579681,12.453170424999621,32.1744831880957,1.5355029871540133,0.7241795980456532,4.173531437722032,12.36713852466368,3.449039131021609,12.419843246420792,0.6025790435780177,1.9857307386491354,36.34463276505992,2.2019528812461155,36.761713220377025,22.31509275494176,15.130385699927528,0.40784905557120743,0.5171192132398045,0.044930255625393635
30.9,3.5630377622526113,12.623485293387915,0.8937880861015897,236.714978301714,3.9797104465143227,29.6452035789619,103.67357196416802,0.5936168397046638,0.5936168397046637,6.851451010726192,10.713587278822736,8.82479191714753,10.618043941463847,0.9014274394378221,2.063699867436431,13.168143377105215,1.847649729740332,13.781284755922051,5.768939821723458,6.412042242085255,0.3086066999241838,0.6933012813104175,0.036746552368852714
31.5,0.7745966692414834,5.387816944604877,1.2168264735231016,26.660475471771925,4.029651999626672,11.437199124327766,23.917915182278467,0.8837151016885367,0.5345224838248488,3.4804487942683213,8.616153157766824,3.1151243955900063,8.23581030795218,0.3534860406754147,1.216943869269401,21.892159936074528,0.8276184996436347,24.20999400090404,7.590959535306895,9.515401050027116,0.21668498091095506,0.2971291205616075,0.04292861891972152
