"","importance.RDA1","importance.PC1","importance.PC2","importance.PC3","importance.PC4","importance.PC5","importance.PC6","importance.PC7","importance.PC8","importance.PC9"
"Eigenvalue",0.140177695342046,4.25244812593838,1.45798580358522,0.984027743451182,0.861202053642618,0.78119836716942,0.441590751661551,0.0417743944543367,0.0371803102700513,0.00241475448519475
"Proportion Explained",0.0155752994824496,0.472494236215376,0.16199842262058,0.10933641593902,0.095689117071402,0.08679981857438,0.0490656390735056,0.00464159938381519,0.00413114558556125,0.000268306053910528
"Cumulative Proportion",0.0155752994824496,0.488069535697825,0.650067958318405,0.759404374257425,0.855093491328827,0.941893309903207,0.990958948976713,0.995600548360528,0.99973169394609,1
