"","importance.RDA1","importance.PC1","importance.PC2","importance.PC3","importance.PC4","importance.PC5","importance.PC6","importance.PC7","importance.PC8","importance.PC9"
"Eigenvalue",0.446873106560031,3.884916639926,1.83437376309264,1.14825386805662,0.651530806291933,0.565135576552702,0.419436980096516,0.0322626987084181,0.0160627200302364,0.0011538406849008
"Proportion Explained",0.049652567395559,0.431657404436223,0.203819307010293,0.127583763117402,0.0723923118102148,0.0627928418391891,0.0466041088996129,0.00358474430093535,0.00178474667002627,0.000128204520544533
"Cumulative Proportion",0.049652567395559,0.481309971831782,0.685129278842075,0.812713041959477,0.885105353769692,0.947898195608881,0.994502304508494,0.998087048809429,0.999871795479455,1
