"","X","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust","RDA.RDA1","RDA.PC1"
"AggsbachB_01_01",  1,"AggsbachB", 8,32, 4.0,216,74, 78,276,4,2,12.5,39,20.4,63,1.6,5.3, 66, 3.4, 42, 1.6,57, 0.2,-0.5,1.941217,30.0,"Flechette","Lower Austria",1,-0.157819179,-0.158578143
"AggsbachB_01_03",  3,"AggsbachB", 5,27, 5.4,129,81, 67,192,3,2, 9.0,33,18.6,68,2.1,3.0, 60, 2.9, 58, 1.0,48, 0.1,-0.7,1.867846,30.0,"Flechette","Lower Austria",1,-0.128313215, 0.023566687
"AggsbachB_01_05",  4,"AggsbachB", 5,27, 5.4,109,75, 60,181,3,2, 8.0,29,19.5,72,2.4,2.9, 58, 2.4, 47, 1.2,38, 0.2,-0.6,1.933519,30.0,"Flechette","Lower Austria",1,-0.103075852, 0.063355493
"AggsbachB_01_08",  5,"AggsbachB", 6,26, 4.3,123,76, 62,198,4,2, 9.1,34,17.2,66,1.9,3.7, 61, 2.5, 40, 1.5,49, 0.1,-0.5,1.882444,30.0,"Flechette","Lower Austria",1,-0.154552635, 0.038437800
"AggsbachB_01_09",  6,"AggsbachB", 7,37, 5.3,224,76, 86,260,3,2, 9.2,24,28.1,75,3.0,3.7, 52, 3.6, 51, 1.0,41, 0.3,-1.2,1.993356,30.0,"Flechette","Lower Austria",1,-0.106496139,-0.253050722
"AggsbachB_01_11",  7,"AggsbachB", 8,26, 3.2,158,72, 64,246,4,3,12.5,48,14.3,55,1.1,5.3, 66, 2.7, 34, 1.9,74, 0.5,-0.1,1.922938,30.0,"Flechette","Lower Austria",1,-0.287057049, 0.004729158
"AggsbachB_01_12",  8,"AggsbachB", 7,32, 4.6,174,70, 73,238,3,4,20.3,63,12.2,38,0.6,4.2, 60, 3.1, 44, 1.4,61, 0.0, 0.1,1.912845,30.0,"Flechette","Lower Austria",1,-0.010315866,-0.040499285
"AggsbachB_01_14",  9,"AggsbachB", 8,37, 4.6,252,82, 91,276,3,3,15.4,41,22.4,60,1.5,4.5, 56, 3.9, 48, 1.2,44, 0.1,-1.8,1.999290,30.0,"Flechette","Lower Austria",1,-0.186152490,-0.381758698
"AggsbachB_01_17", 10,"AggsbachB", 9,36, 4.0,257,68, 85,302,3,2, 9.5,26,27.5,76,2.9,5.0, 55, 4.8, 53, 1.0,41, 0.0,-1.6,1.965171,30.0,"Flechette","Lower Austria",1,-0.027467122,-0.344952033
"AggsbachB_01_19", 12,"AggsbachB", 7,35, 5.0,220,83, 84,261,4,3,19.9,56,15.5,44,0.8,4.4, 63, 3.0, 43, 1.5,73, 0.2, 0.0,1.984326,30.0,"Flechette","Lower Austria",1,-0.195517986,-0.154947368
"AggsbachB_01_20", 13,"AggsbachB", 8,32, 4.0,201,75, 77,261,3,2,11.6,36,20.9,65,1.8,4.0, 49, 4.2, 51, 1.0,53,-0.1,-0.9,1.928510,30.0,"Flechette","Lower Austria",1,-0.099929744,-0.192109264
"DolniVestonice1_01_02", 14,"DolniVestonice1",11,35, 3.2,284,68, 84,338,2,2, 8.9,25,26.5,75,3.0,4.1, 37, 7.4, 67, 0.5,40,-0.6,-2.8,1.998839,30.4,"Gravette_point","Moravia",1, 0.027950669,-0.542352632
"DolniVestonice1_01_03", 15,"DolniVestonice1",10,36, 3.6,286,73, 89,321,2,2,11.9,32,25.0,69,2.1,2.0, 20, 8.0, 79, 0.3,46,-0.4,-2.0,1.998844,30.4,"Gravette_point","Moravia",1,-0.037385084,-0.473440777
"DolniVestonice1_01_04", 16,"DolniVestonice1",10,42, 4.2,313,70,101,309,4,2,15.9,37,26.7,63,1.7,6.5, 64, 3.7, 37, 1.8,44, 0.2,-1.1,2.006236,30.4,"Gravette_point","Moravia",1,-0.059618138,-0.456186311
