"","X","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust","RDA.RDA1","RDA.PC1"
"DolniVestonice1_01_10", 22,"DolniVestonice1",12,72, 6.0, 762,78,163,467,3,2,20.0,27,52.2,72,2.6, 6.7, 55, 6.3, 52,  1.1, 36,-0.4,-3.7,1.964890,30.4,"Gravette_point","Moravia",1,-0.262791173,-0.939437819
"DolniVestonice1_01_11", 23,"DolniVestonice1",14,50, 3.6, 557,70,126,442,3,2,16.7,33,33.9,67,2.0, 8.5, 60, 6.5, 46,  1.3, 51, 0.0,-2.2,1.922367,30.4,"Gravette_point","Moravia",1,-0.021991671,-0.612729498
"DolniVestonice1_01_12", 24,"DolniVestonice1",13,73, 5.6, 752,73,163,461,3,3,33.1,45,40.2,55,1.2, 6.7, 51, 7.0, 54,  0.9, 35, 0.0,-3.3,1.971624,30.4,"Abri_Audi_knife","Moravia",1,-0.231605973,-0.919023702
"DolniVestonice1_01_13", 25,"DolniVestonice1",11,47, 4.3, 417,70,110,379,3,3,22.4,47,24.6,52,1.1, 6.3, 57, 5.6, 50,  1.1, 45, 0.0,-2.6,1.886246,30.4,"Abri_Audi_knife","Moravia",1,-0.059834181,-0.476870492
"DolniVestonice1_06_01", 26,"DolniVestonice1",13,42, 3.2, 412,71,105,392,3,2,11.5,27,31.5,74,2.7, 5.9, 45, 7.2, 55,  0.8, 44,-0.2,-2.7,1.931172,30.4,"Backed_blade","Moravia",2, 0.030301949,-0.494905402
"DolniVestonice1_07_03", 27,"DolniVestonice1", 6,37, 6.2, 170,64, 84,202,5,2,10.0,27,27.2,73,2.7, 5.6, 92, 0.9, 15,  6.0, 24, 0.2,-2.8,1.930900,30.4,"Backed_blade","Moravia",1,-0.175161798,-0.170192496
"DolniVestonice1_07_09", 28,"DolniVestonice1", 4,23, 5.8,  76,70, 52,146,3,2, 6.5,28,16.9,73,2.6, 1.9, 46, 2.4, 60,  0.8, 39,-0.2,-0.4,1.878429,30.4,"Backed_blade","Moravia",1,-0.048056216, 0.167706432
"DolniVestonice1_07_10", 29,"DolniVestonice1", 5,29, 5.8, 135,73, 68,198,5,3,12.6,43,16.5,56,1.3, 5.2,103, 0.7, 14,  7.0, 41, 0.2,-1.3,1.914100,30.4,"Backed_blade","Moravia",1, 0.011217286, 0.011364162
"DolniVestonice1_08_04", 30,"DolniVestonice1", 4,22, 5.5,  78,70, 49,159,3,3,10.7,48,11.3,51,1.1, 1.9, 46, 2.8, 69,  0.7, 55,-0.2,-0.2,1.885084,30.4,"Backed_blade","Moravia",1,-0.017371375, 0.190206834
"DolniVestonice1_08_07", 31,"DolniVestonice1", 8,57, 7.1, 427,83,134,318,3,3,24.4,42,33.0,57,1.3, 4.6, 57, 4.3, 53,  1.1, 46, 0.0,-0.4,1.902637,30.4,"Backed_blade","Moravia",1,-0.125904985,-0.396669458
"DolniVestonice1_08_12", 32,"DolniVestonice1",10,90, 9.0, 761,71,199,382,2,2,34.1,37,56.7,62,1.7, 3.0, 29, 7.0, 70,  0.4, 32,-0.4,-0.7,1.944860,30.4,"Backed_blade","Moravia",2,-0.612972364,-0.855316930
"DolniVestonice1_08_13", 33,"DolniVestonice1", 5,20, 4.0,  75,71, 45,166,3,2, 5.0,25,15.2,75,3.0, 2.4, 48, 2.6, 51,  0.9, 48,-0.2,-0.4,1.893509,30.4,"Backed_blade","Moravia",1, 0.110566827, 0.170212292
"DolniVestonice1_10_04", 34,"DolniVestonice1_10",22,94, 4.3,1672,75,216,774,3,2,29.1,30,65.2,69,2.2,11.7, 53,11.3, 51,  1.0, 47, 0.2,-2.6,1.876505,30.4,"Chatelperron_point","Moravia",2,-0.224335959,-1.609389542
"GrubKranawetberg_01_01", 35,"GrubKranawetberg", 5,27, 5.4, 114,66, 65,175,4,3,14.9,55,12.8,47,0.9, 4.2, 84, 1.4, 28,  3.0, 50, 0.2,-0.2,1.918313,29.5,"Gravette_point","Lower Austria",1,-0.021646333, 0.125604069
"GrubKranawetberg_01_02", 36,"GrubKranawetberg", 8,38, 4.8, 209,57, 89,234,4,2,15.3,40,23.7,62,1.6, 6.0, 74, 2.8, 35,  2.1, 44, 0.7, 0.5,1.997021,29.5,"Microgravette_point","Lower Austria",1,-0.040282454,-0.001917235
"GrubKranawetberg_01_03", 37,"GrubKranawetberg",13,48, 3.7, 463,69,116,399,3,3,26.1,54,22.5,46,0.9, 6.1, 47, 7.0, 53,  0.9, 47,-0.4,-0.9,1.909346,29.5,"Microgravette_point","Lower Austria",1,-0.069862453,-0.443972939
