ID,filter
JarosovPodvrsta_01_03,0
JarosovPodvrsta_01_04,0
KremsWachtberg_01_01,0
KremsWachtberg_01_02,0
KremsWachtberg_01_03,0
KremsWachtberg_01_04,0
KremsWachtberg_01_05,0
KremsWachtberg_01_06,0
KremsWachtberg_01_07,0
KremsWachtberg_01_08,0
KremsWachtberg_01_09,0
KremsWachtberg_01_10,0
KremsWachtberg_02_01,0
KremsWachtberg_02_02,0
KremsWachtberg_02_03,0
Milovice1_01_01,1
Milovice1_01_02,1
Milovice1_01_03,1
Milovice1_01_04,0
Milovice1_01_05,1
Milovice1_01_06,1
Milovice1_01_07,1
Milovice1_02_01,0
Milovice1_02_02,0
Milovice1_02_03,1
Milovice1_02_04,1
Milovice1_02_05,0
Milovice1_02_06,1
Milovice1_03_01,1
Milovice1_03_02,1
Milovice1_03_03,0
Milovice1_03_04,1
Milovice1_03_05,1
Milovice1_03_06,1
Milovice1_03_07,0
Milovice1_03_08,1
Milovice1_03_09,1
Milovice1_03_10,1
Pavlov1_01_01,1
Pavlov1_01_02,1
Pavlov1_01_03,1
Pavlov1_01_04,1
Pavlov1_01_05,1
Pavlov1_01_06,1
Pavlov1_01_07,1
Pavlov1_01_08,1
Pavlov1_02_01,1
Pavlov1_02_02,1
Pavlov1_02_03,1
Pavlov1_02_04,1
Pavlov1_02_05,1
Pavlov1_03_01,0
Pavlov1_03_02,0
Pavlov1_04_01,0
Pavlov1_05_01,1
Pavlov1_05_02,1
Pavlov1_05_03,1
Pavlov1_05_04,1
Pavlov1_05_05,1
Pavlov1_05_06,1
Pavlov1_05_07,1
Pavlov1_05_08,1
Pavlov1_05_09,1
Pavlov1_05_10,1
Pavlov1_05_11,1
Pavlov1_05_12,1
Pavlov1_05_13,1
Pavlov1_05_14,1
Pavlov1_05_15,1
Pavlov1_05_16,1
Pavlov1_05_17,1
Pavlov1_05_18,1
Pavlov1_05_19,1
Pavlov1_05_20,1
Pavlov1_05_21,1
Pavlov1_05_22,1
Pavlov1_05_23,1
Pavlov1_05_24,1
Pavlov1_05_25,1
Pavlov1_05_26,1
Pavlov1_06_01,1
Pavlov1_06_02,1
Pavlov1_06_03,1
Pavlov1_06_04,1
Pavlov1_06_05,1
Pavlov1_06_06,0
Pavlov1_06_07,1
Pavlov1_07_01,1
Pavlov1_07_02,1
Pavlov1_07_03,0
Pavlov1_07_04,1
Pavlov1_07_05,1
Pavlov1_08_01,1
Pavlov1_08_02,1
Pavlov1_08_03,1
Pavlov1_08_04,1
Pavlov1_08_05,1
Pavlov1_09_01,1
Pavlov1_09_02,1
Pavlov1_09_03,1
Petrkovice1a_01_01,0
Petrkovice1a_01_02,1
Petrkovice1a_01_03,1
Petrkovice1a_01_04,1
Petrkovice1a_01_05,0
Petrkovice1a_01_06,0
Petrkovice1a_01_07,0
Petrkovice1a_01_08,0
Petrkovice1a_01_09,0
Petrkovice1a_01_10,1
Petrkovice1a_01_11,1
Petrkovice1a_01_12,0
Petrkovice1a_01_13,1
Petrkovice1a_01_14,1
Petrkovice1a_01_15,0
Petrkovice1a_01_16,1
Predmosti1b_01_01,0
Predmosti1b_01_02,1
Predmosti1b_01_03,0
Predmosti1b_01_04,0
Predmosti1b_01_05,0
Predmosti1b_01_06,1
Predmosti1b_01_07,1
Predmosti1b_01_08,1
Predmosti1b_01_09,1
Predmosti1b_01_10,1
Predmosti1b_01_11,0
Predmosti1b_01_12,0
Predmosti1b_01_13,0
Predmosti1b_01_14,1
Predmosti1b_01_15,1
Predmosti1b_01_16,1
Predmosti1b_01_17,1
Predmosti1b_01_18,0
Predmosti1b_01_19,1
Predmosti1b_01_20,1
Predmosti1b_01_21,1
Predmosti1b_01_22,1
Predmosti1b_01_23,1
Predmosti1b_01_24,0
Willendorf5_01_01,1
Willendorf5_01_02,0
Willendorf5_01_03,1
Willendorf5_01_04,0
Willendorf5_01_05,1
Willendorf5_01_06,1
Willendorf5_01_07,1
Willendorf5_01_08,1
Willendorf5_01_09,1
Willendorf5_01_10,1
Willendorf5_01_11,1
Willendorf5_01_12,1
Willendorf5_01_13,0
Willendorf5_01_14,1
Willendorf5_01_15,1
Willendorf5_01_16,1
Willendorf5_01_17,0
Willendorf5_01_18,1
Willendorf5_01_19,0
Willendorf5_01_20,1
Willendorf6_01_01,0
Willendorf6_01_02,0
Willendorf6_01_03,1
Willendorf6_01_04,0
Willendorf6_01_05,1
Willendorf6_01_06,1
Willendorf6_01_07,0
Willendorf6_01_08,0
Willendorf6_01_09,1
Willendorf6_01_10,0
Willendorf6_01_11,0
Willendorf6_01_12,1
Willendorf7_01_01,0
Willendorf7_01_02,0
Willendorf7_01_03,1
Willendorf7_01_04,0
Willendorf7_01_05,0
Willendorf7_01_06,0
Willendorf7_01_07,0
Willendorf7_01_08,1
Willendorf7_01_09,0
Willendorf7_01_10,1
Willendorf7_01_11,0
Willendorf7_01_12,0
Willendorf7_01_13,0
Willendorf7_01_14,0
Willendorf7_01_15,0
Willendorf7_01_16,0
Willendorf7_01_17,1
Willendorf8_01_01,0
Willendorf8_01_02,0
Willendorf8_01_03,1
Willendorf8_01_04,0
Willendorf8_01_05,0
Willendorf8_01_06,0
Willendorf8_01_07,0
Willendorf8_01_08,0
Willendorf8_01_09,0
Willendorf8_01_10,0
Willendorf8_01_11,0
Willendorf8_01_12,0
Willendorf8_01_13,0
Willendorf8_01_14,0
Willendorf8_01_15,0
Willendorf8_01_16,0
Willendorf8_01_17,1
Willendorf8_01_18,1
Willendorf8_01_19,0
Willendorf8_01_20,0
Willendorf8_01_21,0
Willendorf8_01_22,0
Willendorf8_01_23,0
Willendorf8_01_24,0
Willendorf8_01_25,0
Willendorf8_01_26,1
Willendorf8_01_27,0
Willendorf9_01_01,0
Willendorf9_01_02,0
Willendorf9_01_03,0
Willendorf9_01_04,0
Willendorf9_01_05,0
Willendorf9_01_06,1
Willendorf9_01_07,0
Willendorf9_01_08,0
Willendorf9_01_09,0
Willendorf9_01_10,0
Willendorf9_01_11,0
Willendorf9_01_12,1
Willendorf9_01_13,0
Willendorf9_01_14,0
Willendorf9_01_15,1
Willendorf9_01_16,0
Willendorf9_01_17,0
Willendorf9_01_18,1
Willendorf9_01_19,0
Willendorf9_01_20,0
Willendorf9_01_21,1
Willendorf9_01_22,0
Willendorf9_01_23,0
Willendorf9_01_24,0
Willendorf9_01_25,1
Willendorf9_01_26,0
Willendorf9_01_27,1
Willendorf9_01_28,0
Willendorf9_01_29,0
Willendorf9_01_30,1
Willendorf9_01_31,0
Willendorf9_01_32,0
Willendorf9_01_33,0
Willendorf9_01_34,0
