ID,site,width,length,l_w_index,area,percent_area,contour_length,area_contour_ratio,upper_to_lower_ratio,left_to_right_ratio,tip_angle,MP_CM_x_offset,MP_CM_y_offset,typology,reference,ka_cal_BP,region,filter
Pavlov1_05_22,Pavlov1,7.9,29.2,3.71,163.4,66.0,70,233.4,0.6,0.0,64.7,-0.8,0.9,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_05_23,Pavlov1,5.1,20.6,4.03,81.3,73.0,49,165.9,1.5,2.5,50.6,0.2,-0.2,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_05_24,Pavlov1,5.6,21.0,3.77,88.9,73.0,50,177.8,0.4,0.3,99.5,-0.3,0.6,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_05_25,Pavlov1,6.0,19.0,3.15,74.3,61.0,46,161.5,2.0,2.0,55.0,0.5,-0.5,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_05_26,Pavlov1,5.6,19.6,3.47,81.2,73.0,46,176.6,0.5,0.3,79.1,-0.5,0.5,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_06_01,Pavlov1,6.5,20.3,3.14,97.0,74.0,48,202.2,1.8,1.9,57.4,0.2,-0.1,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_06_02,Pavlov1,5.8,21.5,3.71,86.5,66.0,52,166.3,2.4,10.2,43.1,0.6,-0.8,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_06_03,Pavlov1,6.3,26.1,4.16,117.3,70.0,60,195.5,2.5,3.8,45.1,0.5,-0.6,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_06_04,Pavlov1,7.2,26.7,3.73,143.7,72.0,62,231.8,1.3,0.4,59.8,-0.3,-0.5,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_06_05,Pavlov1,6.5,22.7,3.52,111.7,75.0,54,206.8,0.4,0.2,90.2,-0.5,0.6,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_06_06,Pavlov1,7.2,21.9,3.03,119.7,65.0,56,213.7,0.7,0.5,63.0,-0.1,-0.7,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,0
Pavlov1_06_07,Pavlov1,6.1,20.8,3.44,103.8,77.0,50,207.7,1.9,9.4,61.8,0.3,0.0,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_07_01,Pavlov1,5.4,20.4,3.81,78.3,66.0,49,159.8,1.3,2.8,42.2,0.0,-0.9,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_07_02,Pavlov1,5.7,25.4,4.47,103.2,70.0,60,172.0,2.0,2.1,40.9,0.2,-0.9,Backed_implements,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_07_03,Pavlov1,6.1,23.5,3.82,115.3,69.0,55,209.6,0.4,0.2,81.5,-0.3,0.3,Backed_implements,"Klíma and Svoboda, 1994",30.7,Moravia,0
Pavlov1_07_04,Pavlov1,7.1,40.4,5.7,219.9,71.0,92,239.0,0.6,2.6,47.9,0.2,-0.9,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_07_05,Pavlov1,6.3,42.4,6.72,216.7,84.0,102,212.5,0.9,0.6,48.3,0.2,-0.7,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_08_01,Pavlov1,5.5,15.5,2.82,59.6,67.0,39,152.9,0.9,57.7,54.9,0.4,-0.2,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_08_02,Pavlov1,5.2,15.6,2.99,61.6,75.0,38,162.2,0.6,7.0,75.2,0.4,-0.1,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_08_03,Pavlov1,5.2,17.6,3.35,65.7,69.0,42,156.4,1.7,4.8,53.7,0.4,-0.2,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
Pavlov1_08_04,Pavlov1,5.2,19.1,3.65,73.6,69.0,46,160.0,1.7,0.3,47.9,-0.3,-0.5,Non_backed_microlith,"Klíma and Svoboda, 1994",30.7,Moravia,1
