"","ID","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust"
"189","Pavlov1_05_25","Pavlov1",6,19,3.2,74,60,46,160,4,2,6.4,33,12.6,66,2,4,67,2,33,2,54,0.5,-0.5,1.92295023706153,30.7,"Non_backed_microlith","Moravia",1
"190","Pavlov1_05_26","Pavlov1",5,19,3.8,81,73,46,176,2,4,13,68,6.6,34,0.5,1.2,24,4.4,88,0.3,79,-0.5,0.5,1.90150600949619,30.7,"Non_backed_microlith","Moravia",1
"191","Pavlov1_06_01","Pavlov1",6,20,3.3,97,74,48,202,4,2,7.4,36,12.9,64,1.8,4.3,70,2.2,36,1.9,57,0.2,-0.1,1.95201944226184,30.7,"Non_backed_microlith","Moravia",1
"192","Pavlov1_06_02","Pavlov1",5,21,4.2,86,65,52,165,5,2,6.3,29,15.3,72,2.4,5.3,105,0.5,10,10.2,43,0.6,-0.8,1.935972540429,30.7,"Non_backed_microlith","Moravia",1
"193","Pavlov1_06_03","Pavlov1",6,26,4.3,117,69,60,195,4,2,7.5,28,18.6,71,2.5,5,82,1.3,21,3.8,45,0.5,-0.6,1.94752379587959,30.7,"Non_backed_microlith","Moravia",1
"194","Pavlov1_06_04","Pavlov1",7,26,3.7,143,71,62,230,2,3,11.6,44,15.1,58,1.3,2.1,30,5,71,0.4,59,-0.3,-0.5,1.97423509992376,30.7,"Non_backed_microlith","Moravia",2
"195","Pavlov1_06_05","Pavlov1",6,22,3.7,111,75,54,205,1,4,15.9,72,6.8,31,0.4,0.9,15,5.5,92,0.2,90,-0.5,0.6,1.94873858223387,30.7,"Non_backed_microlith","Moravia",2
"196","Pavlov1_06_07","Pavlov1",6,20,3.3,103,76,50,206,5,2,7.3,36,13.5,67,1.9,5.5,91,0.6,9,9.4,61,0.3,0,1.94961387329003,30.7,"Non_backed_microlith","Moravia",1
"197","Pavlov1_07_01","Pavlov1",5,20,4,78,65,49,159,4,3,8.7,43,11.7,58,1.3,3.9,78,1.4,28,2.8,42,0,-0.9,1.90219547244429,30.7,"Non_backed_microlith","Moravia",1
"198","Pavlov1_07_02","Pavlov1",5,25,5,103,70,60,171,4,2,8.3,33,17,68,2,3.9,77,1.8,36,2.1,40,0.2,-0.9,1.89784178212064,30.7,"Backed_implements","Moravia",1
"199","Pavlov1_07_04","Pavlov1",7,40,5.7,219,70,92,238,4,4,25.4,63,15,37,0.6,5.1,73,2,28,2.6,47,0.2,-0.9,1.89624929400773,30.7,"Non_backed_microlith","Moravia",2
"200","Pavlov1_07_05","Pavlov1",6,42,7,216,83,102,211,3,3,22.5,53,19.8,47,0.9,2.4,40,3.9,64,0.6,48,0.2,-0.7,1.86503166754,30.7,"Non_backed_microlith","Moravia",2
"201","Pavlov1_08_01","Pavlov1",5,15,3,59,66,39,151,5,3,8.3,55,7.1,47,0.9,5.4,108,0.1,1,62.5,55,0.5,-0.1,1.97994319212935,30.7,"Non_backed_microlith","Moravia",1
"202","Pavlov1_08_02","Pavlov1",5,15,3,61,74,38,160,5,4,10,66,5.6,37,0.6,4.4,88,0.8,15,5.7,78,0.4,-0.1,1.98394878957629,30.7,"Non_backed_microlith","Moravia",1
"203","Pavlov1_08_03","Pavlov1",5,17,3.4,65,69,42,154,5,2,6.7,39,11,64,1.6,4.3,86,1,19,4.5,53,0.4,-0.2,1.98403014705901,30.7,"Non_backed_microlith","Moravia",1
"204","Pavlov1_08_04","Pavlov1",5,19,3.8,73,66,46,158,2,2,7.4,38,11.7,61,1.6,1.3,26,3.9,77,0.3,48,-0.2,-0.4,1.99292537077618,30.7,"Non_backed_microlith","Moravia",2
