ID,site,typology,reference,ka_cal_BP,region,long,lat
DolniVestonice1_05_03,DolniVestonice1,Flechette,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_05_04,DolniVestonice1,Flechette,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_06_01,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_06_02,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_01,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_02,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_03,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_04,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_05,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_06,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_07,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_08,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_09,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_10,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_11,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_12,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_13,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_14,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_15,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_07_16,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_01,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_02,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_03,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_04,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_05,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_06,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_07,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_08,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_09,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_10,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_11,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_12,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_13,DolniVestonice1,Backed_blade,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_14,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_08_15,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_09_01,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_09_02,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_09_03,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_09_04,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_09_05,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_09_06,DolniVestonice1,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_01,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_02,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_03,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_04,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_05,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_06,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_07,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_08,DolniVestonice1_10,Chatelperron_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_09,DolniVestonice1_10,Microgravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_10_10,DolniVestonice1_10,Shouldered_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
GrubKranawetberg_01_01,GrubKranawetberg,Gravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_02,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_03,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_04,GrubKranawetberg,Symmetric_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_05,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_06,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_07,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_08,GrubKranawetberg,Symmetric_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_09,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_10,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_11,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_12,GrubKranawetberg,Symmetric_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_13,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_14,GrubKranawetberg,Symmetric_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_15,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_16,GrubKranawetberg,Shouldered_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_17,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_18,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_19,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_20,GrubKranawetberg,Symmetric_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_21,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_22,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_23,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_24,GrubKranawetberg,Distal_oblique_retouched_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_25,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_26,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_27,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_28,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_01_29,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_01,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_02,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_03,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_04,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_05,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_06,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_07,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_08,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_02_09,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_03_01,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_03_02,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_03_03,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_03_04,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_03_05,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_03_06,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_01,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_02,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_03,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_04,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_05,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_06,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_07,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_08,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_09,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_10,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_11,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_12,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_13,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_14,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_15,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_16,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_17,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_18,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_19,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_20,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_21,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_22,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_23,GrubKranawetberg,Triangle,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_24,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_25,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_26,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_04_27,GrubKranawetberg,Oblique_retouched_microlithic_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_01,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_02,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_03,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_04,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_05,GrubKranawetberg,Shouldered_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_06,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_07,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_08,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_09,GrubKranawetberg,Symmetric_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_10,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_11,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_05_12,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_01,GrubKranawetberg,Symmetric_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_02,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_03,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_04,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_05,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_06,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_07,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_08,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_09,GrubKranawetberg,Microlithic_backed_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_10,GrubKranawetberg,Microgravette_point,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
GrubKranawetberg_06_11,GrubKranawetberg,Flechette,NHMW-PRÄ-GK93377-W_Antl,29.5,Lower Austria,16.11021,48.0811
